Year,Facility,City ,State ,Zip Code Region,Address,CO2 Emissions,CH4 Emissions,N2O Emissions,Category
2018,Tesla,Fremont,CA,94500,45500 Fremont Boulevard,22025.2,10.5,12.52,low emitter
2018,GMC,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,51983.2,24.5,29.2,high emitter
2017,Ford,Claycomo,MO,64100,8121 NE Highway 69,78258.6,36.75,43.81,high emitter
2017,Ford,Louisville,KY,40200,3001 Chamberlain Lane,85097.3,40,47.68,high emitter
2017,Ford,Livonia,MI,48100,36200 Plymouth Road,10691.4,5,5.96,low emitter
2017,Ford,Louisville,KY,40200,2000 Fern Valley Road,61585.1,29,34.57,high emitter
2017,Ford,Wayne,MI,48100,38303 Michigan Avenue,57082.6,30.75,41.12,high emitter
2017,Ford,AVON LAKE,OH,44000,650 MILLER ROAD,33408,15.75,18.77,low emitter
2017,Ford,Dearborn,MI,48100,2450 Carroll Shelby Way,65940.2,31,36.95,high emitter
2017,Ford,Dearborn,MI,48100,3001 Miller Road,74431,35,41.72,high emitter
2017,Ford,SHARONVILLE,OH,45200,3000 SHARON ROAD,10864.1,5,5.96,low emitter
2017,Ford,Sterling Heights,MI,48300,39000 Mound Road,29481.2,14,16.69,low emitter
2017,Ford,Chicago,IL,60600,12600 S. Torrence Avenue,54585.1,25.75,30.69,high emitter
2017,Ford,FLAT ROCK,MI,48100,1 INTERNATIONAL DR.,55116,26,30.99,high emitter
2017,General Motors,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,26328.5,12.5,14.9,low emitter
2017,General Motors,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,26655.3,12.5,14.9,low emitter
2017,General Motors,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,62799.9,92.75,183.57,high emitter
2017,General Motors,LANSING,MI,48900,8175 MILLETT HWY,44162.9,20.75,24.73,low emitter
2017,General Motors,BEDFORD,IN,47400,105 GM DRIVE,35471.2,10175,19.97,low emitter
2017,General Motors,WARREN,OH,44400,2300 HALLOCK YOUNG ROAD,49681.5,23.5,28.01,high emitter
2017,General Motors,DETROIT,MI,48200,2500 EAST GENERAL MOTORS BOULEVARD,9269.9,4.25,5.07,low emitter
2017,General Motors,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,40196.4,6974,22.65,low emitter
2017,General Motors,Kokomo,IN,46900,2100 E. Lincoln Road,8348.1,4,178.5,low emitter
2017,General Motors,Lake Orion,MI,48300,4555 Giddings Road,22863.6,32.5,63.47,low emitter
2017,General Motors,Wentzville,MO,63300,1500 East Route A,84716.7,40,47.68,high emitter
2017,General Motors,Spring Hill,TN,37100,100 Saturn Parkway,38056.8,18,21.46,low emitter
2017,FCA,Belvidere,IL,61000,3000 West Chrysler Drive,66494.2,31.25,37.25,high emitter
2017,FCA,Auburn Hills,MI,48300,800 Chrysler Drive,42125.2,19.75,23.54,low emitter
2017,FCA,DETROIT,MI,48200,2101 CONNER AVENUE,79548,37.5,44.7,high emitter
2017,FCA,KOKOMO,IN,46900,1001 E. BOULEVARD,28813.7,13.5,16.09,low emitter
2017,FCA,KOKOMO,IN,46900,2401 S REED RD,19711.8,9.25,11.03,low emitter
2017,FCA,STERLING HTS,MI,48300,38111 VAN DYKE,42252.3,20,23.84,low emitter
2017,FCA,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,8728.4,4,4.77,low emitter
2017,FCA,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,81007.5,38.25,45.59,high emitter
2017,FCA,WARREN,MI,48000,22800 MOUND RD.,4790.9,2.25,2.68,low emitter
2017,FCA,WARREN,MI,48000,21500 MOUND ROAD,101326.3,47.75,56.92,high emitter
2017,FCA,Warren,MI,48000,21035 Sherwood Avenue,5504.8,2.5,2.98,low emitter
2017,Tesla,Fremont,CA,94500,45500 Fremont Boulevard,22142.6,10.5,12.52,low emitter
2017,GMC,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,45055.3,21.25,25.33,low emitter
2016,Ford,Claycomo,MO,64100,8121 NE Highway 69,81706.8,38.5,45.89,high emitter
2016,Ford,Louisville,KY,40200,3001 Chamberlain Lane,92922.8,43.75,52.15,high emitter
2016,Ford,Livonia,MI,48100,36200 Plymouth Road,13605.6,6.5,7.75,low emitter
2016,Ford,Louisville,KY,40200,2000 Fern Valley Road,67351.3,31.75,37.85,high emitter
2016,Ford,Wayne,MI,48100,38303 Michigan Avenue,50512.5,36,57.22,high emitter
2016,Ford,AVON LAKE,OH,44000,650 MILLER ROAD,39086.1,18.5,22.05,low emitter
2016,Ford,Dearborn,MI,48100,2450 Carroll Shelby Way,73256.7,34.5,41.12,high emitter
2016,Ford,Dearborn,MI,48100,3001 Miller Road,70117.8,33,39.34,high emitter
2016,Ford,SHARONVILLE,OH,45200,3000 SHARON ROAD,15224.6,7.25,8.64,low emitter
2016,Ford,Sterling Heights,MI,48300,39000 Mound Road,32537.2,15.25,18.18,low emitter
2016,Ford,Chicago,IL,60600,12600 S. Torrence Avenue,53059.5,25,29.8,high emitter
2016,Ford,FLAT ROCK,MI,48100,1 INTERNATIONAL DR.,59382,28,33.38,high emitter
2016,General Motors,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,25256,12,14.3,low emitter
